workYear,createTime,salary,education,city,positionName,search_name,positionId,work_duty,work_requirement
1-3年,2018-09-30 09:54:09,9k-10k,本科,深圳,前端开发,前端工程师,5185247,,
3-5年,2018-09-29 14:09:05,25k-50k,本科,北京,前端开发工程师,前端工程师,5149627,负责部门产品模块的设计和开发工作/持续改进产品性能 安全性 稳定性和可扩展性/提升产品UI效果 用户体验/熟悉h 小程序等相关开发/,年以上网站前端开发经验，具备独立完成整站页面切图能力者优先/需有应用Vue angular react或nodejs的项目经验，深入理解WC标准与ES规范，熟悉Web语义化，掌握盒模型 常用布局以及浏览器兼容性/熟练使用photoshop工具进行切图和简单图片修改/了解后台开发，对Web开发有整体认识，精通各种Web前端技术，对符合web标准的网站重构有丰富经验，有成功作品/理解并掌握JavaScript语言核心技术DOM BOM Ajax JSON等/了解常见网络协议和网络传输 对页面优化和算法有一定的研究，有jQuery Zepto Angular Bootstrap的使用经验/对模块化 重构 性能优化 跨浏览器兼容 提高系统的扩展性有丰富经验/良好的沟通表达能力，具备很好的团队协作精神/
3-5年,2018-09-30 09:09:58,10k-13k,本科,长沙,前端开发工程师,前端工程师,3716253,利用html及相关技术开发移动平台 微信 APP等前端页面，各类交互的实现/持续的优化前端体验和页面响应速度，并保证兼容性和执行效率/根据产品需求，分析并给出最优的页面前端结构解决方案/协助后台及客户端开发人员完成功能开发和调试/移动端主流浏览器的适配 移动端界面自适应研发/有微信小程序开发工作经验优先考虑/,从事WEB开发工作三年或以上，有使用HTML开发跨平台移动应用程序或微信应用开发的经验/精通HTML CSS  JavaScript等Web前端开发技术，对html页面适配充分了解，熟悉不同浏览器间的差异，熟练写出兼容各种浏览器的代码/熟悉运用常见JS开发框架，如JQuery vue angular，能快速高效实现各种交互效果/深刻理解Web标准，对可用性 可访问性等相关知识有实际的了解和实践经验，熟练掌握web前端性能调优技巧，对web常见漏洞有一定的理解和相关处理经验/熟悉HTTP协议/有沿海及互联网平台工作经验者优先录用/针对特别优秀的异地人才，薪资可根据需求面谈/
1-3年,2018-09-29 11:38:17,8k-12k,本科,上海,前端开发工程师,前端工程师,4314466, 负责前端界面的模块构建，各类交互设计与实现/ 前端样式和脚本的模块设计及优化/ 跟后台研发人员对接，完成业务逻辑/ 产品新功能的讨论 设计和实现/ 技术的调研和分享/, 精通CSS Html JavaScript Ajax DOM等前端技术，有独立完成复杂前端模块的设计与实现的经验/ 熟悉掌握使用ES ，TypeScript，了解React等相关前端开发框架，并有使用事件的经验/ 有使用Node，NPM，Webpack管理项目经验的优先/ 有网络编程的相关经验，深入理解HTTP协议/ 有良好的沟通和合作技巧，较强的责任心以及团队合作精神/ 能够及时完成自己的任务，在项目紧急情况下能够牺牲个人时间准时完成任务/
3-5年,2018-09-29 16:47:55,13k-20k,大专,上海,前端开发工程师,前端工程师,5125628,"负责对多个项目（PC,M站,微信小程序）的前端H，JS开发 效果的提升与改造 /负责团队的H开发质量，有针对性实施前后端分离 /紧跟流行的前端特效和展示效果，并加以实现/",年以上前端开发经验，精通多种Web前端技术H CSS等，精通VUE框架 /熟悉微信小程序的开发优先 /精通JavaScript编程和DOM BOM Ajax JSON，webpack等核心技术/有nodejs经验者优先/熟悉PHP者优先 /
1-3年,2018-09-29 19:47:28,10k-20k,本科,上海,前端开发工程师,前端工程师,4224074,完成前端项目开发和优化，并按照项目进度的计划完成开发任务并及时解决项目技术问题/对项目出现的问题能够及时追踪 定位和解决 优化产品性能和前端代码质量/与后台工程师深度交流合作，一起研讨技术实现方案，并落实为具体的开发工作/配合团队整体建设，协助构建优秀的团队开发环境和基础设施，指导 分享前端技术经验，帮助团队共同成长/,年以上从事前端开发工作经验，工作积极主动，善于沟通/熟练angular/vue/react 等其中一种前端框架/了解MVC，MVVM框架，深入掌握框架原理，有封装或二次封装组件的能力/技术视野广阔，能够主导前端方案设计/对项目性能优化有独到的见解，对前端技术热爱，喜欢分享/
1-3年,2018-09-29 09:52:49,10k-20k,本科,广州,前端开发工程师,前端工程师,5042529,"独立完成公司中后台项目的前端开发/与后端开发一起，确定接口协议/独立完成接口文档的编写并组织评审/深入解析代码, 提升代码执行效率, 加强代码兼容性/对用户交互有深刻理解，能帮助产品优化交互体验/",有年以上前端开发经验/对各种Web前端技术（JavaScript，CSS，语义化标签等等）有深刻理解/熟悉服务器端Web应用结构，有服务器端脚本语言经验更佳/熟悉WEB应用的MVC，MVVM结构/英文级以上/
1-3年,2018-09-30 09:21:09,8K-13K,大专,天津,前端开发工程师,前端工程师,5137854,熟练掌握html CSS JavaScript等Web开发技术/熟悉常用的JS框架和CSS框架，vue angular react sass less等/～年经验，天津驻场，电话面试，包吃/,
1-3年,2018-09-30 09:19:48,6k-12k,不限,广州,前端开发,前端工程师,4192645, 参与公司系统 网站前端功能设计 开发和实现，通过技术提升产品的用户体验/ 参与公司产品线前端产品项目技术路线规划/ 负责HTML手机应用的开发，利用HTML相关技术开发跨平台的前端产品/ 用web标准规范页面代码，优化页面下载速度，提高用户体验及交互效果/ 协同后端工程师完成前端与程序对接/, 深刻理解Web标准/ 精通图像处理及代码编辑工具/ 精通Web前端跨平台开发技术（XHTML/XML/CSS/Javascript等）/ 及时了解业界前瞻信息及应用，并有浓厚的兴趣和深入的见解/ 对HTML/CSS方面有实际的理解和实践经验/ 对网站性能优化有研究并有相关实践经验/ 熟悉业界常用Javascript脚本库(如jQuery YUI mootools AJAX等)/ 有团队协作精神，较强的逻辑分析能力 沟通表达能力，善于学习/ 勇于探索新领域了解多终端平台研发，对可用性等有实际的理解和实践经验/ 有Web Apps开发经验优先/ 具备项目驱动力，对此有独特见解并有成功案例优先/
3-5年,2018-09-29 16:46:14,10k-16k,大专,宁波,前端开发,前端工程师,5185900,对现有产品功能进行优化/根据需求，开发新产品的功能/编写功能开发的相关技术文档/负责页面设计，编写JavaScript代码，代码模块化或组件化/负责自动化部署脚本编写，Jenkins File维护/,计算机相关专业， 年以上Web 前端工作经验，了解后端接口数据结构/精通Web（HTML/CSS/Javascript)  Nodejs React 面向对象 函数闭包 设计模式 ES等前端技术/熟悉CI/CD的过程，并精通相关工具的使用，例如：Jenkins，gitlab等/精通主流前端框架，有Vue/React实际项目开发经验者优先/有至少个完整项目的开发经验 /熟练使用git进行项目版本管理  /良好的沟通能力和团队协作精神，有较强的研究能力和学习能力 /
